Name,TypeofKiller,Sex,Race,WhiteMale,WhiteMale20s,NumVics,country,state,County,City,US,birthyear,BirthDate,BirthPlace,Age1stKill,AgeLastKill,AgeGroup,MidtoLate20s,DateFirst,DateFinal,VictimCode,Code,Type,Height,Raised,FamEvent,AgeEvent,Rasied2,BirthRank,BirthCat,NumSibs,SchoolProb,Teased,Educ,Degree,IQ1,IQ2,VerbalIQ,PerfIQ,Military,Branch,Combat,Killed,AppliedCop,WorkedCop,Fired,Attrac,PhyDef,SpchDef,XYY,BrainAb,Chem,HeadInj,PoliceGroupie,BedWet,Animal,Fire,PsychAbuse,PhysAbuse,SexAbuse,ParMarSta,DadStable,MomStable,DadSA,MomSA,Killerabusealcohol,Killerabusedrugs,Married?,MaritalStatus,NumberofChildren,LivChild,LiveWith,SexualOrientation,Occupation,PreviousArrests,Previousjailorprisontime,AgeKill,AgeSeries,KilledPriortoSeries,KillMethod,KillwithHands,Weapon,Gun,Partner,MethodDescription,PartName,PartnerRelation,PartSex,VicSex,#Male,#Female,RaceofVictim,#White,#Black,#Hisp,#Asian,NatAm,VicAge,VicAgeAdult,ChildVictim,ActualAges,GetToCrime,LocAbduct,LocKilling,Rape,Torture,Soughtvictimtokill,Overkill,Quick,Blindfold,Bound,Mutilate,Totem,SexDeath,AteBody,DrankBlood,Posed,BodyTotem,ItemTotem,News,BodyLeft,LeftHidden,LeftBuried,Moved,MovedHide,MovedBuried,CutUp,TakenHome,DisorPoints,OrgDis,Mental,MentalFac,PsychologicalDiagnosis,DateArrested,KilledinmateorguardinPrison,WantAds,Confessed,NGRI,Sentence,Exec,DateDeath,Suicide,DeathMeth,SuspectedDeaths,ConfessedDeaths,ConvictedDeaths,YearsBetweenFirstandLast,YearFirst,YearFinal,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,Century,DecadeStarted,Otherinformation,Nickname,Organizational,FrequencyCategory
"Carter,DeanPhillip",Serial,1,1,1,1,5,US,CA,"LosAngeles,Almeda,SanDiego","CulverCity,Oakland,SanDiego",1,1955,8/30/1955,US-AK-Nome,29,29,20,1,1984,1984,7.2,1.11,FinancialGain-Robbery-HomeInvasion,,4,,,3,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,Cameraman,1,1,29,29,0,5,1,3,0,0,Strangle,,,,2,0,5,7,4,0,0,1,0,,1,0,"24,24,25,33,42",,,1,1,0,1,0,,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,1,,,,4/17/1984,,0,0,0,3,0,,,,5,0,3,0,1984,1984,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,,,0,5
"Carter,Frank",Serial-Twomurders,1,1,1,0,2,US,NE,Douglas,Omaha,1,1881,,Ireland-CountyMayo,45,45,40,0,1926,1926,8.32,3.02,Enjoyment-Norape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,45,45,0,2,0,3,2,0,Shoot,,,,1,2,0,1,2,0,0,0,0,,1,0,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,,0,,1926,0,0,1,1,3,1,6/24/1927,0,1,2,43,2,0,1926,1926,0,0,0,0,0,0,0,0,0,1,0,0,1900,1920,,,0,2
"Carter,RobertAnthony",Serial-Twomurders,1,2,0,0,2,US,TX,Harris,Houston,1,1964,2/10/1964,,17,17,10,0,6/18/1981,6/24/1981,6,1.12,FinancialGain-Robbery-Retail,72,9,,,0,,,5,,1,10,None,74,,,,0,,,,0,0,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,Laborer,0,0,17,17,0,2,0,3,1,0,Shoot,"Graves,AnthonyCharles(accusedbutnotactuallyinvolved)",,,3,1,1,,,,,,,,1,0,"18,63",,,8,0,0,,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,1,,,,1981,,0,1,0,3,1,5/18/1998,0,1,2,2,1,0,1981,1981,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,,,0,2
"Carter,Samuel",Serial,1,2,0,0,9,US,DC,,Washington,1,1961,,,28,35,20,1,1989,1996,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,7,1989,1996,0,0,1,1,0,0,0,0,0,0,0,0,1900,1980,,,0,6+
"Carter,ShanEdward#0486636",Serial-Organizational-DrugEnterprise,1,2,0,0,3,US,NC,NewHanover,Wilmington,1,1974,10/28/1974,,22,22,20,0,12/6/1996,2/16/1997,10.1,8.1,Criminal-Drugenterprise,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,1,,1,1,22,22,0,2,0,3,1,1,Shoot,Gang/CriminalEnterprise,Gang/CriminalEnterprise,,1,3,0,2,0,3,0,0,0,,1,1,"8,27,30",,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,0,,1997,0,0,1,0,3,,,,,3,2,3,1,1996,1997,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,1,3
"Carter,StephenNathaniel",Serial-Twomurders,1,2,0,0,2,US,"HI,OH",,,1,1878,,,42,42,40,0,1920,1920,,,,,,,,,,,,,,,,,,,,1,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,0,2,0,3,1,0,Shoot,,,,1,2,0,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,2,2,,0,1920,1920,0,0,0,0,0,0,0,0,0,1,0,0,1900,1920,,,0,2
"Carvajal,BeltranDalaryCortes",Serial-Twoevents,1,3,0,0,4,CostaRica,Heredia,,SanRafael,0,1908,11/21/1908,CostaRica-Heredia-SantaBarbara,25,29,20,1,7/28/1934,8/23/1938,11,4,Anger,,1,,,0,18,3,17,,,,,,,,,0,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,0,1,0,,,,Farmer,,,25,25,0,2,0,3,,0,Shoot,,,,1,4,0,7,1,0,3,0,0,0,1,0,,,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,,,,,8/23/1938,0,0,,0,2,0,6/11/1984,0,4,4,,4,4,1934,1938,0,0,0,0,0,0,0,0,1,0,0,0,1900,1930,,,0,4
"Carver,Ashley",Serial-Team-Accomplice,2,1,0,0,4,US,TN,Shelby,Memphis,1,1990,,,21,21,20,0,12/8/2011,2/16/2012,11,1.1,FinancialGain-Robbery,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,1,,,,21,21,0,2,0,3,,1,Shoot,"Dean,Michael;Carver,Ashley;Santiago,Demetreous;Gibson,Lewis",,1,3,3,1,2,0,4,0,0,0,,1,0,"26,40,40,57",,,,0,0,1,,,0,0,0,,0,0,0,0,0,,,0,1,0,0,1,0,0,0,,1,,0,,2/17/2012,0,0,,,,,,,,4,,,1,2011,2012,1,0,0,0,0,0,0,0,0,0,0,0,2000,2010,,,0,4
"Casey,Brian#139647",Serial-Twomurders,1,1,1,0,2,US,FL,Lee,FortMeyers,1,1973,2/4/1973,,37,37,30,0,10/15/2010,10/20/2010,8.5,4,Anger,75,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,37,37,0,"2,5",1,3,,0,"Shoot,Strangle",,,,1,2,0,,1,,0,0,0,5,1,0,"34,38",,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,,,,,10/20/2010,0,0,1,0,2,0,,,,2,2,2,0,2010,2010,1,0,0,0,0,0,0,0,0,0,0,0,2000,2010,,,0,2
"Casey,LarryDelon#01525428",Serial-Twoevents,1,1,1,0,4,US,TX,Harris,Houston,1,1951,8/22/1951,,21,21,20,0,2/20/1973,4/18/1973,8.3,11,Multiplemotives,,,,,,,,,,,,,,,,,1,1,,,,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,,,,1,,1,1,21,21,0,2,0,3,2,0,Shoot,,,,2,1,4,,3,,,,,,1,1,"5,10,48,86",,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,,,0,,4/18/1973,0,0,1,0,2,0,,,,4,3,2,0,1973,1973,0,0,0,0,1,0,0,0,0,0,0,0,1900,1970,,,0,4
"Cash,OmarSharif#JN9025",Serial-Twomurders,1,2,0,0,2,US,PA,"Bucks,Philadelphia","Doylestown,Philadelphia",1,1982,2/17/1982,,26,26,20,1,4/28/2008,5/11/2008,8.33,1.13,FinancialGain-Robbery-RandomStreet,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,4,,,,,,,,1,,,,26,26,0,2,0,3,,0,Shoot,,,,3,1,1,7,0,1,1,0,0,,1,0,"19,32",,,,1,,1,0,,,,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,,,0,AntisocialPersonalityDisorder,2008,0,0,0,0,2,0,,,,2,0,1,0,2008,2008,0,1,0,0,0,0,0,0,0,0,0,0,2000,2000,,,0,2
"Cassandra,Simone",Serial,1,1,1,0,3,Italy,Lazio,,Norma,0,1971,,,21,24,20,0,1992,1995,,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,21,21,0,5,1,,0,0,Strangle,,,,3,,,,,,,,0,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1995,,0,1,,,,,,,3,,,3,1992,1995,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,3
"Cassimiro,AndreLuis",Serial,1,3,0,0,5,Brazil,MinasGerais,,JuizdeFora,0,1965,,,30,31,30,0,1995,1996,,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,30,30,0,5,1,,0,0,Strangle,,,,2,0,5,3,0,0,5,0,0,6,1,0,58-77,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1996,,0,1,,,,,,,5,,,1,1995,1996,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,5
"Castaing,Edme-Samuel",Serial-Twomurders,1,1,1,1,2,France,,,,0,1796,,France-Alencon,26,27,20,1,10/5/1822,6/1/1823,5.9,1,FinancialGain,,1,,,0,3,3,2,0,,21,MD,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,5,,,1,Physician,,,26,26,0,3,0,3,0,0,Poison,,,,1,2,0,1,2,0,0,0,0,,1,0,,,,,0,0,1,0,1,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,1,,0,,6/2/1823,0,0,0,0,3,1,12/4/1823,2,1,2,0,2,1,1822,1823,0,0,0,0,0,0,0,0,0,0,0,0,1800,1820,,,0,2
"Castor,Stacey",Serial,2,1,0,0,3,US,NY,"Cayuga,Onondaga",Weedsport,1,1967,7/24/1967,US-NY-Clay,32,38,30,0,1/11/2000,8/22/2005,5.1,1.3,FinancialGain-BlackWidow,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,,1,,0,0,32,32,0,3,0,3,0,0,Poison,,,,1,3,0,1,3,0,0,0,0,,1,0,"38,48",,,,0,0,1,0,,0,0,0,,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,,0,,2005,0,0,0,0,2,0,,,,3,0,1,5,2000,2005,0,1,0,0,0,0,0,0,0,0,0,0,2000,2000,,,0,3
"Castro,Edward",Serial,1,3,0,0,3,US,FL,"Polk,Pinellas,Marion","St.Petersburg,Ocala",1,1950,1/26/1950,,36,36,30,0,11/4/1986,1/14/1987,8.32,1.13,FinancialGain-Robbery-RandomStreet,68,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,1,1,36,36,0,4,1,3,0,0,Stab,,,,1,3,0,1,3,0,0,0,0,5,1,0,"49,50,56",,,2,0,0,1,1,,,1,0,,0,0,0,0,0,,,0,0,0,1,0,0,0,0,1,,,,,1987,0,0,1,0,3,1,12/7/2000,0,1,3,3,2,1,1986,1987,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,,,0,3
"Castro,JohnWalter",Serial-Twomurders,1,3,0,0,2,US,OK,"Oklahoma,Kay","OklahomaCity,PoncaCity",1,1961,2/8/1961,,22,22,20,0,4/18/1983,6/6/1983,11,1.1,FinancialGain-Robbery,,5,,,2,,,,1,,,,,,,,0,,,,,0,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,22,22,0,"2,4",1,3,,0,"Shoot,Stab",,,,2,0,2,,,,,,,,1,0,"29,31",,,,,,0,0,,,,0,,0,0,0,0,0,,,,,,,,,,,,,,,,6/6/1983,0,0,1,0,3,1,1/7/1999,0,1,2,2,2,0,1983,1983,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,,,0,2
"Catanese,AnnaSanta",Awaitingconfirmation,2,1,0,0,,Italy,Sicily,,Catania,0,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1989,,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,,,0,
"Catlin,StevenDavid",Serial,1,1,1,0,4,US,CA/NV,"Kern,SantaClara",Bakersfield,1,1944,,,32,40,30,0,5/6/1976,12/8/1984,5,1.6,FinancialGain-Family,,4,,,1,,,,1,,,None,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,Mechanic,1,1,32,32,0,3,0,3,0,0,Poison,,,,2,1,3,1,4,0,0,0,0,,1,0,"35,40,75,79",,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,,0,,1984,0,0,0,0,3,0,,,,4,0,3,8,1976,1984,0,0,0,1,1,0,0,0,0,0,0,0,1900,1970,,,0,4
"Catoe,Jarvis",Serial,1,2,0,0,8,US,DC/NY,Bronx,"Washington,DC;NYC-Bronx",1,1905,,,30,36,30,0,1935,8/4/1941,8.31,3.01,Enjoyment-Rape,,,,,,,,,,,8,None,,,,,,,,,,0,,2,0,,0,0,2,1,0,0,1,0,1,0,0,1,1,1,5,5,0,0,0,,,,,1,,1,1,30,30,0,5,1,0,0,0,Strangle,,,,2,0,7,7,2,6,0,0,0,5,1,0,"21,23,25,26,34,48,62",,,"1,4",1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,2,2,,None,8/29/1941,0,0,1,0,3,1,1/13/1943,0,1,8,8,1,6,1935,1941,0,0,0,0,0,0,0,1,1,0,0,0,1900,1930,,,0,6+
"Cavaness,Dr.JohnDale",Serial-Twomurders,1,1,1,0,2,US,IL/MO,St.Louis,TimesBeach,1,1925,10/15/1925,US-IL-Eldorado,51,59,50,0,4/9/1977,12/14/1984,5.2,1.3,FinancialGain-BlackWidow,67,1,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,4,4,,,1,Physician,1,0,51,51,0,2,0,3,1,0,Shoot,,,,1,2,0,1,2,0,0,0,0,,1,0,"22,22",,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,,0,,12/19/1984,0,0,0,0,3,0,11/17/1986,1,6,2,0,1,7,1977,1984,0,0,0,1,1,0,0,0,0,0,0,0,1900,1970,,,0,2
"Caviness,ChristopherBernard#0071237",Serial-Twomurders,1,2,0,0,2,US,NC,Guilford,Greensboro,1,1968,10/8/1968,,19,20,10,0,7/9/1988,6/22/1989,11,4,Anger,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,19,19,0,5,1,,0,0,Strangle,,,,3,1,1,2,0,2,0,0,0,,1,0,"57,85",,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,,,,,,0,0,1,0,5,0,6/6/2010,0,9,2,1,1,1,1988,1989,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,,,0,2
"Cecchin,Daniela",Serial-Twomurders,2,1,0,0,2,Italy,Tuscany,,Firenze,0,1956,,,46,47,40,0,2002,11/8/2003,8.5,4,Anger,,1,,,0,3,2,3,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,46,46,0,5,1,,0,0,Strangle,,,,2,0,2,1,2,0,0,0,0,,1,0,,,,,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,,,0,,2003,,0,,0,,,,,,2,,,1,2002,2003,0,1,0,0,0,0,0,0,0,0,0,0,2000,2000,,,0,2
"Chadd,BillyLee",Serial,1,1,1,0,4,US,CA/NV,"Ellsworth,SanDiego,Clark","SanDiego,LasVegas,MiraMesa,Ellsworth",1,1954,12/14/1954,,20,24,20,0,1974,1978,7.1,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,1,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Military-Marines,1,1,20,20,0,4,1,,0,0,Stab,,,,3,1,2,,,,,,,,1,0,"28,29,30",,,1,1,0,,1,0,,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,,,,,3/24/1978,0,0,1,0,2,0,,2,,4,3,2,4,1974,1978,0,0,0,0,1,0,0,0,0,0,0,0,1900,1970,,,0,4
"Chaffin,BennyLee",Serial-Twomurders,1,1,1,1,2,US,"OR(1984),TX(1977)",Lane,Springfield,1,1952,7/9/1952,,25,32,20,1,1977,12/7/1984,11,11,Multiplemotives,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,25,25,0,"4,5",1,,0,0,"Stab,Strangle",,,,3,1,1,1,2,0,,0,0,,1,1,"9,54",,,,1,1,1,1,0,0,0,0,,0,0,0,0,0,,,0,0,0,1,0,0,0,0,2,,,0,,12/8/1984,0,0,0,0,2,0,,,,2,0,2,7,1977,1984,0,0,0,1,1,0,0,0,0,0,0,0,1900,1970,Killedafterbeingreleasedfromprisonformurder,,0,2
"Chagas,Franciscodas",Serial,1,3,0,0,42,Brazil,"Maranhao,Para",,PacodoLumiar,0,1965,,,26,38,20,1,1991,2003,8.32,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Mechanic-Bike,,,26,26,0,4,1,3,0,0,Stab,,,,1,16,0,3,0,0,16,0,0,,0,1,"4,10,11,12,15",,,,1,,1,,,,,1,,0,0,0,0,,,,,,,,,,,,,,,,AntisocialPersonalityDisorder,2003,0,0,1,0,2,0,,,,42,42,4,12,1991,2003,0,1,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,6+
"Chamba,Gilberto",Serial,1,3,0,0,6,Ecuador,,,Machala,0,1961,,,32,37,30,0,1993,1998,8.31,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,Taxidriver,,,32,32,0,5,1,0,0,0,Strangle,,,,2,0,6,3,0,0,6,0,0,,1,0,21,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,0,,,,6,,,5,1993,1998,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,6+
"Chambers,EarlFred",Serial-Twomurders,1,1,1,0,2,US,OR,"Benton,Marion","Corvalis,Salem",1,1935,12/17/1935,,42,42,40,0,4/15/1978,4/19/1978,8.34,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,42,42,0,5,1,,0,0,Strangle,,,,2,0,2,1,2,0,0,0,0,,0,1,"11,12",,,,1,,,,,,,0,,0,0,0,0,,,,0,0,0,0,1,0,0,0,,,,,,1978,0,0,0,0,5,0,6/6/1978,1,6,2,0,0,0,1978,1978,0,0,0,0,1,0,0,0,0,0,0,0,1900,1970,,,0,2
ChanKa-Chun,Serial,1,4,0,0,3,China,,,,0,1972,,,24,25,20,1,1996,1997,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,0,"4,8",1,,0,0,"Stab,Smother",,,,2,0,3,4,0,0,0,3,0,,1,0,"23,24,29",,,,,,,,,,,,,0,0,0,0,,,,,,,,1,0,0,0,,,,,,,0,0,,0,2,0,,,,3,,3,1,1996,1997,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,3
"Chanal,Pierre",Serial,1,1,1,0,8,France,,,,0,1946,11/18/1946,France-Saint-Etienne-Loire,30,39,30,0,1977,1986,2,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,1,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,30,30,0,,,,,0,,,,,1,8,0,1,8,0,0,0,0,,1,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/9/1988,,0,0,,5,0,10/14/2003,1,6,8,0,0,9,1977,1986,0,0,0,1,1,0,0,0,0,0,0,0,1900,1970,,,0,6+
"Chandler,Oba",Serial-Twoevents,1,1,1,0,4,US,FL,"Broward,Hillsborough","CoralSprings,Tampa",1,1946,10/11/1946,US-OH-Cincinnati,42,44,40,0,5/26/1989,11/27/1990,8.31,3.01,Enjoyment-Rape,,1,,,0,4,2,4,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,9,,,1,Buildingcontractor,1,1,42,42,0,"5,10",1,,0,0,"Strangle,Drown",,,,2,0,4,1,4,0,0,0,0,,1,1,"14,17,20,35",,,,1,,0,,,,1,0,,0,0,0,0,0,,,0,0,0,0,1,0,0,0,,,,,,9/24/1992,0,0,0,0,3,1,11/15/2001,0,1,4,0,3,1,1989,1990,0,0,1,1,0,0,0,0,0,0,0,0,1900,1980,,,0,4
"Chaney,Ben#032467",Serial-Team,1,2,0,0,4,US,FL/SC,"Broward,PalmBeach,Jasper","FortLauderdale,BocaRaton,Hardeeville",1,1952,7/12/1952,,17,17,10,0,5/5/1970,5/15/1970,8.33,4.12,Anger-Racial,68,2,,,0,5,3,4,0,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,17,17,0,2,0,3,1,1,Shoot,"Chaney,Ben;Rutrell,Martin;Thompson,L.L.",Friends,1,3,2,2,1,4,0,0,0,0,,1,0,"21,21,23,49",,,,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,,,0,,5/15/1970,0,0,1,0,2,0,,,,4,3,3,0,1970,1970,0,0,0,0,1,0,0,0,0,0,0,0,1900,1970,Confessedtobeingthedriverbutnotthekiller,,0,4
Chang-ShanHsui,Serial-Team,1,4,0,0,79,China,Jiangsu,,Changzhou,0,,,,,,,,1945,1945,6.5,1.12,FinancialGain-Robbery-Retail,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,"Chang-ShanHsui;Liao,Chang-Shin",,1,3,,,4,0,0,0,79,0,,1,0,,,,7,0,0,,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,0,1,,0,,1945,,0,1,0,3,,,,,79,79,79,0,1945,1945,0,0,0,0,0,0,0,1,0,0,0,0,1900,1940,Innkeeperswhokilledvisitors,,0,6+
Chang-ShinLiao,Serial-Team,1,4,0,0,79,China,Jiangsu,,Changzhou,0,,,,,,,,1945,1945,6.5,1.12,FinancialGain-Robbery-Retail,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,"Chang-ShanHsui;Liao,Chang-Shin",,1,3,,,4,0,0,0,79,0,,1,0,,,,7,0,0,,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,0,1,,0,,1945,,0,1,0,3,,,,,79,79,79,0,1945,1945,0,0,0,0,0,0,0,1,0,0,0,0,1900,1940,Innkeeperswhokilledvisitors,,0,6+
"Chapman,Albert",Serial-Organizational-Gang,1,2,0,0,2,US,DC,,Washington,1,1975,,,17,19,10,0,1992,7/17/1994,,8,GangActivity,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,17,17,0,2,0,3,,1,Shoot,Gang,Gang/CriminalEnterprise,,1,2,0,2,0,2,0,0,0,,1,0,34,,,,0,0,0,,,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,2,0,,,,2,0,1,2,1992,1994,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,1,2
"Chapple,DamonLopez#691659",Serial-Twomurders,1,2,0,0,2,US,WA,Spokane,Spokane,1,1960,5/7/1960,,24,28,20,1,7/7/1984,8/17/1988,11,1.1,FinancialGain-Robbery,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,Boxer,1,1,24,24,0,"1,4",1,,0,0,"Bludgeon,Stab",,,,3,1,1,,,,,,,,1,0,"37,58",,,,0,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,0,125yrs,0,,,,2,,2,4,1984,1988,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,,,0,2
"Charboneau,GrantSteven",Serial-Organizational-Gang,1,1,1,0,3,US,OR,Multnomah,Portland,1,1971,11/28/1971,,20,20,20,0,5/1/1992,7/28/1992,11,8,GangActivity,,1,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,1,,,,20,20,0,4,1,3,0,0,Stab,,,,3,2,1,1,3,0,0,0,0,,1,1,"15,19,45",,,,0,0,1,0,,,,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,1,,0,,1992,0,0,,0,2,0,,,,3,,3,0,1992,1992,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,1,3
"Charbonneau,LindaLou",Serial-Twomurders,2,1,0,0,2,US,DE,Sussex,"Millsboro,Bridgeville",1,1948,2/9/1948,,53,53,50,0,9/23/2001,10/17/2001,5.1,1.3,FinancialGain-BlackWidow,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,,,,53,53,0,"1,4",1,,0,0,"Bludgeon,Stab",,,,1,2,0,1,2,0,0,0,0,,1,0,"45,62",,,,0,0,1,0,,0,0,0,,0,0,0,0,0,,,0,0,0,0,1,0,0,0,,,,,,11/30/2001,0,0,0,0,3,,,,,2,0,2,0,2001,2001,0,1,0,0,0,0,0,0,0,0,0,0,2000,2000,,,0,2
